"date","plot","treatment","mean_t_top","mean_t_bottom","mean_t_ground","mean_vwc"
2023-09-18,"13","wp",19.59375,20.5130208333333,20.57421875,23.596676480625
2023-09-18,"14","c",18.3177083333333,18.9401041666667,19.3723958333333,31.4639822308333
2023-09-18,"15","p",18.3131510416667,19.0208333333333,18.9602864583333,18.9775804708333
2023-09-18,"16","w",18.9876302083333,18.9856770833333,20.123046875,32.5444248091667
2023-09-18,"2","c",18.515625,19.08984375,19.6048177083333,31.4134814222917
2023-09-18,"3","p",18.2903645833333,18.8203125,18.6549479166667,21.5842542139583
2023-09-18,"4","wp",19.4609375,21.2682291666667,20.67578125,20.8685113327083
2023-09-18,"5","wp",19.2057291666667,20.4615885416667,20.3567708333333,22.2823857039583
2023-09-18,"6","p",18.4680989583333,18.2805989583333,18.4635416666667,23.6422047777083
2023-09-18,"7","c",18.2916666666667,19.0540364583333,19.4544270833333,31.63100483125
2023-09-18,"8","w",19.4505208333333,20.7916666666667,20.8098958333333,28.1211581327083
2023-09-18,"9","w",19.7024739583333,20.513671875,20.3450520833333,30.3462439345833
2023-10-04,"1","w",20.619140625,21.876953125,20.9596354166667,27.57766029875
2023-10-04,"10","p",18.810546875,18.9375,19.9264322916667,17.8687260264583
2023-10-04,"11","c",18.9166666666667,20.6764322916667,19.3938802083333,31.4564701729167
2023-10-04,"12","wp",20.7213541666667,23.26953125,22.2799479166667,10.9605463625
2023-10-04,"13","wp",20.8977864583333,22.1126302083333,22.8196614583333,15.1786047852083
2023-10-04,"14","c",18.9420572916667,19.8444010416667,19.4114583333333,25.4298066014583
2023-10-04,"15","p",18.90234375,20.66015625,21.5638020833333,11.1665987033333
2023-10-04,"16","w",20.5032552083333,20.9401041666667,20.1979166666667,23.3316480579167
2023-10-04,"2","c",19.1901041666667,20.599609375,20.0201822916667,24.1845673352083
2023-10-04,"3","p",18.9485677083333,20.3932291666667,21.0598958333333,12.2186639427083
2023-10-04,"4","wp",20.8111979166667,23.0970052083333,22.5104166666667,16.3011695908333
2023-10-04,"5","wp",20.380859375,22.2727864583333,22.3248697916667,12.2214526514583
2023-10-04,"6","p",18.9830729166667,19.3567708333333,19.873046875,14.5670124472917
2023-10-04,"7","c",18.82421875,19.9733072916667,19.1119791666667,22.69778851
